pair_index,speaker_0,speaker_1,utt_0,utt_1,vad_ind_mae,vad_ind_max,vad_shared_mae,vad_shared_max,vad_random_mae,vad_random_max,wave_ind_mae,wave_ind_max,wave_shared_mae,wave_shared_max,wave_random_mae,wave_random_max
1,1089,1188,1089-134691-0001.flac,1188-133604-0000.flac,0.35987823691865706,1.0,0.34668463468551636,1.0,0.342176714527338,0.9839955818921721,0.3783448769651551,1.0,0.35616788268089294,1.0,0.3263811276515302,0.9839955818921721
2,121,1221,121-121726-0001.flac,1221-135767-0001.flac,0.29536304965578186,1.0,0.16790419816970825,1.0,0.3747827889712841,0.9754416052076775,0.26158813379708357,1.0,0.18367978930473328,1.0,0.3603280425270799,0.9841169795989557
3,1284,1320,1284-1181-0000.flac,1320-122617-0000.flac,0.29224635472959587,1.0,0.23243170976638794,0.9990386366844177,0.4081464574581245,0.9908006692383973,0.30635834518353,1.0,0.24257183074951172,0.9253541827201843,0.3416679464675722,0.9908006692383973
4,1580,1995,1580-141083-0001.flac,1995-1836-0001.flac,0.16724493004672625,1.0,0.16596004366874695,1.0,0.4142300558615482,0.980727266816511,0.35566266413250575,1.0,0.34623315930366516,1.0,0.4675456239389138,0.9838417200744142
5,2094,2300,2094-142345-0001.flac,2300-131720-0000.flac,0.28469139874219146,1.0,0.20743174850940704,1.0,0.4135403186636834,0.9978726421522104,0.295466972255673,0.8644871529290493,0.2958289086818695,0.8644871711730957,0.3397104544307113,0.9822385995867391
6,237,260,237-134500-0000.flac,260-123440-0001.flac,0.038430046462404284,0.2682386528545108,0.06382046639919281,0.2682386636734009,0.446252003112571,0.9885574341276391,0.06855647730198582,0.5477953858317505,0.08785627037286758,0.5928407907485962,0.4270689442499454,0.9941033375149076
7,2830,2961,2830-3980-0001.flac,2961-960-0001.flac,0.12870631780256642,1.0,0.09031160175800323,1.0,0.4419295004821567,0.9995962207576975,0.3267392497104594,1.0,0.23677922785282135,1.0,0.37354798771005915,0.9931972722927533
8,3570,3575,3570-5694-0001.flac,3575-170457-0000.flac,0.3722682099136002,1.0,0.16255928575992584,1.0,0.4060793027491567,0.9965181537554727,0.3245203512730782,1.0,0.2902984917163849,1.0,0.45916323423647476,0.9795916899463953
9,3729,4077,3729-6852-0001.flac,4077-13754-0001.flac,0.18963786911607922,0.9595205756677371,0.15071870386600494,0.797476053237915,0.4416516886232464,0.9882239270493243,0.2494633349108841,1.0,0.22394947707653046,1.0,0.4386143721650656,0.9882239270493243
10,4446,4507,4446-2271-0001.flac,4507-16021-0001.flac,0.11656200840579257,0.4671450820178865,0.09728338569402695,0.45632556080818176,0.3912507522478366,0.9969165455164697,0.17002276593691565,1.0,0.1347591131925583,1.0,0.5101913952488822,0.9969165455164697
11,4970,4992,4970-29095-0001.flac,4992-41797-0000.flac,0.07695342066115277,0.6322786998231249,0.041346803307533264,0.6831502914428711,0.47623234898893385,0.9997418766545633,0.3092961255457585,1.0,0.30292096734046936,1.0,0.5114622660822443,0.9997418766545633
12,5105,5142,5105-28241-0000.flac,5142-36377-0000.flac,0.22421718154154904,0.9266113232091101,0.19871558248996735,0.7802319526672363,0.4074531641023895,0.9995179178450687,0.16173233448343924,1.0,0.15349100530147552,0.8993780612945557,0.4066556414071105,0.9867811809369486
13,5639,5683,5639-40744-0001.flac,5683-32865-0001.flac,0.1779133469712375,0.8509398438094907,0.13810966908931732,0.8020652532577515,0.4513207252306285,0.9982568887384221,0.2429512769010212,1.0,0.1740083247423172,1.0,0.44732590640875186,0.9982568887384221
14,61,672,61-70968-0000.flac,672-122797-0001.flac,0.1793122172632682,1.0,0.16908752918243408,1.0,0.4579343033417021,0.9941620596702936,0.3448377148311764,1.0,0.17373165488243103,1.0,0.4115667004554785,0.9941620596702936
15,6829,6930,6829-68769-0000.flac,6930-75918-0000.flac,0.32958386696603686,1.0,0.26802757382392883,1.0,0.40180375402060664,0.9971617161246324,0.23391661929286067,0.8128777071505021,0.2961646020412445,0.9037448167800903,0.3678652342097399,0.9671534176973255
16,7021,7127,7021-79759-0000.flac,7127-75947-0001.flac,0.29741445195082794,1.0,0.25011590123176575,1.0,0.4791376604567819,0.9934557563971488,0.21750003825088834,0.8875245117381033,0.20384210348129272,0.9416675567626953,0.37306640941717356,0.9919751563965518
17,7176,7729,7176-92135-0000.flac,7729-102255-0000.flac,0.33690858465264195,1.0,0.249161496758461,1.0,0.3701946520965469,0.9804170568828882,0.3342594266169222,1.0,0.3286629617214203,1.0,0.3196982046453766,0.9962658149048991
18,8224,8230,8224-274384-0000.flac,8230-279154-0000.flac,0.22091758504581818,0.9005140441667073,0.231092169880867,0.925155758857727,0.3753834753315073,0.9852976689059886,0.1860596775429509,1.0,0.1736428439617157,1.0,0.47570437722755826,0.998472150721546
19,8455,8463,8455-210777-0000.flac,8463-287645-0001.flac,0.3338495123294863,1.0,0.3158382773399353,1.0,0.3719885582858701,0.9954662305503614,0.18582166650376145,0.8781229532398129,0.16095301508903503,0.870229959487915,0.46013360930998165,0.9954662305503614
20,8555,908,8555-292519-0000.flac,908-157963-0000.flac,0.30389604139089554,0.9485080756989189,0.3000710606575012,0.9733573794364929,0.4820724069865293,0.9989425991176655,0.2367407701650807,1.0,0.21937195956707,1.0,0.47450267577263133,0.9989425991176655
