pair_index,speaker_0,speaker_1,utt_0,utt_1,vad_ind_mae,vad_ind_max,vad_shared_mae,vad_shared_max,vad_random_mae,vad_random_max,wave_ind_mae,wave_ind_max,wave_shared_mae,wave_shared_max,wave_random_mae,wave_random_max
1,1089,1188,1089-134691-0001.flac,1188-133604-0000.flac,0.31945782181981464,1.0,0.2886712849140167,1.0,0.4100255228883421,0.9884081234082996,0.27912237763439846,1.0,0.21850524842739105,1.0,0.3779537210738951,0.9804795529847606
2,121,1221,121-121726-0001.flac,1221-135767-0001.flac,0.26273436355085306,1.0,0.14393794536590576,1.0,0.3625210613912066,0.9563312073493949,0.23648213556482525,0.8955340229488644,0.2542431950569153,0.9732364416122437,0.39167863548075765,0.9841169795989557
3,1284,1320,1284-1181-0000.flac,1320-122617-0000.flac,0.13842261108124215,1.0,0.13277697563171387,1.0,0.4526423928143814,0.9908006692383973,0.3372498962097876,0.8419809217612831,0.24968703091144562,0.8605424165725708,0.3864962678703933,0.9834664441689416
4,1580,1995,1580-141083-0001.flac,1995-1836-0001.flac,0.10887797900609138,1.0,0.10198789834976196,1.0,0.4417350971175421,0.9770535049096444,0.2323969683719321,1.0,0.19417497515678406,1.0,0.4865661968368211,0.9808097218618438
5,2094,2300,2094-142345-0001.flac,2300-131720-0000.flac,0.22156350469907637,1.0,0.18169762194156647,0.9087494611740112,0.4543943762912371,0.9967613960743466,0.31937128727016284,1.0,0.3164268732070923,1.0,0.34491680468181246,0.9967613960743466
6,237,260,237-134500-0000.flac,260-123440-0001.flac,0.3228308989337187,0.6610504013713953,0.25238874554634094,0.5505131483078003,0.3062470812686216,0.9774934785535284,0.15271783082307797,0.5862379215463731,0.1255241334438324,0.45746710896492004,0.31714923728231414,0.9774934785535284
7,2830,2961,2830-3980-0001.flac,2961-960-0001.flac,0.2218301246610745,1.0,0.20849110186100006,1.0,0.3784364447231561,0.9931972722927533,0.25109202108420686,1.0,0.18439911305904388,1.0,0.3977586365203275,0.9995962207576975
8,3570,3575,3570-5694-0001.flac,3575-170457-0000.flac,0.31387244776642764,1.0,0.2747778296470642,1.0,0.45520101459077056,0.9938093872944312,0.31665309384448503,1.0,0.23500806093215942,1.0,0.4461506644476561,0.9965181537554727
9,3729,4077,3729-6852-0001.flac,4077-13754-0001.flac,0.12277352014679291,1.0,0.11233004927635193,1.0,0.4019534569765205,0.9882239270493243,0.1551821321132836,1.0,0.13529986143112183,1.0,0.4478640343889229,0.9882239270493243
10,4446,4507,4446-2271-0001.flac,4507-16021-0001.flac,0.03331026925953751,0.8500983441192722,0.03250763937830925,0.7957096099853516,0.5076965631995461,0.9969165455164697,0.22153479956400893,1.0,0.16659586131572723,1.0,0.4755628579447488,0.9969165455164697
